orgName,orgRefCode,superUserEmail,caseSharingUser
ccdorg-mvgvh,IGWEE4D,ccdorg-mvgvh_mcsuperuser@mailinator.com,ccdorg-mvgvh_mcCcd.user51@mailinator.com
ccdorg-mvgvh,IGWEE4D,ccdorg-mvgvh_mcsuperuser@mailinator.com,ccdorg-mvgvh_mcCcd.user52@mailinator.com
ccdorg-mvgvh,IGWEE4D,ccdorg-mvgvh_mcsuperuser@mailinator.com,ccdorg-mvgvh_mcCcd.user53@mailinator.com
ccdorg-mvgvh,IGWEE4D,ccdorg-mvgvh_mcsuperuser@mailinator.com,ccdorg-mvgvh_mcCcd.user54@mailinator.com
ccdorg-fxbk2,EU6NOKK,ccdorg-fxbk2_mcsuperuser@mailinator.com,ccdorg-fxbk2_mcCcd.user51@mailinator.com
ccdorg-fxbk2,EU6NOKK,ccdorg-fxbk2_mcsuperuser@mailinator.com,ccdorg-fxbk2_mcCcd.user52@mailinator.com
ccdorg-fxbk2,EU6NOKK,ccdorg-fxbk2_mcsuperuser@mailinator.com,ccdorg-fxbk2_mcCcd.user53@mailinator.com
ccdorg-fxbk2,EU6NOKK,ccdorg-fxbk2_mcsuperuser@mailinator.com,ccdorg-fxbk2_mcCcd.user54@mailinator.com
ccdorg-5jxgg,3BP0HYY,ccdorg-5jxgg_mcsuperuser@mailinator.com,ccdorg-5jxgg_mcCcd.user51@mailinator.com
ccdorg-5jxgg,3BP0HYY,ccdorg-5jxgg_mcsuperuser@mailinator.com,ccdorg-5jxgg_mcCcd.user52@mailinator.com
ccdorg-5jxgg,3BP0HYY,ccdorg-5jxgg_mcsuperuser@mailinator.com,ccdorg-5jxgg_mcCcd.user53@mailinator.com
ccdorg-5jxgg,3BP0HYY,ccdorg-5jxgg_mcsuperuser@mailinator.com,ccdorg-5jxgg_mcCcd.user54@mailinator.com
ccdorg-7bzr4,HQ3FKIZ,ccdorg-7bzr4_mcsuperuser@mailinator.com,ccdorg-7bzr4_mcCcd.user51@mailinator.com
ccdorg-7bzr4,HQ3FKIZ,ccdorg-7bzr4_mcsuperuser@mailinator.com,ccdorg-7bzr4_mcCcd.user52@mailinator.com
ccdorg-7bzr4,HQ3FKIZ,ccdorg-7bzr4_mcsuperuser@mailinator.com,ccdorg-7bzr4_mcCcd.user53@mailinator.com
ccdorg-7bzr4,HQ3FKIZ,ccdorg-7bzr4_mcsuperuser@mailinator.com,ccdorg-7bzr4_mcCcd.user54@mailinator.com
ccdorg-84r0v,W3TFLHK,ccdorg-84r0v_mcsuperuser@mailinator.com,ccdorg-84r0v_mcCcd.user55@mailinator.com
ccdorg-84r0v,W3TFLHK,ccdorg-84r0v_mcsuperuser@mailinator.com,ccdorg-84r0v_mcCcd.user56@mailinator.com
ccdorg-84r0v,W3TFLHK,ccdorg-84r0v_mcsuperuser@mailinator.com,ccdorg-84r0v_mcCcd.user57@mailinator.com
