SSCSUserName,SSCSUserPassword,SSCSJurisdiction,SSCSCaseType,idamId
ccdloadtest401@gmail.com,Password12,SSCS,Benefit,546965
ccdloadtest402@gmail.com,Password12,SSCS,Benefit,546966
ccdloadtest403@gmail.com,Password12,SSCS,Benefit,546967
ccdloadtest404@gmail.com,Password12,SSCS,Benefit,546968
ccdloadtest405@gmail.com,Password12,SSCS,Benefit,546969
ccdloadtest406@gmail.com,Password12,SSCS,Benefit,546970
ccdloadtest407@gmail.com,Password12,SSCS,Benefit,546971
ccdloadtest408@gmail.com,Password12,SSCS,Benefit,546972
ccdloadtest409@gmail.com,Password12,SSCS,Benefit,546973
ccdloadtest410@gmail.com,Password12,SSCS,Benefit,546974
ccdloadtest411@gmail.com,Password12,SSCS,Benefit,546975
ccdloadtest412@gmail.com,Password12,SSCS,Benefit,546976
ccdloadtest413@gmail.com,Password12,SSCS,Benefit,546977
ccdloadtest414@gmail.com,Password12,SSCS,Benefit,546978
ccdloadtest415@gmail.com,Password12,SSCS,Benefit,546979
ccdloadtest416@gmail.com,Password12,SSCS,Benefit,546980
ccdloadtest417@gmail.com,Password12,SSCS,Benefit,546981
ccdloadtest418@gmail.com,Password12,SSCS,Benefit,546982
ccdloadtest419@gmail.com,Password12,SSCS,Benefit,546983
ccdloadtest420@gmail.com,Password12,SSCS,Benefit,546984
ccdloadtest421@gmail.com,Password12,SSCS,Benefit,546985
ccdloadtest422@gmail.com,Password12,SSCS,Benefit,546986
ccdloadtest423@gmail.com,Password12,SSCS,Benefit,546987
ccdloadtest424@gmail.com,Password12,SSCS,Benefit,546988
ccdloadtest425@gmail.com,Password12,SSCS,Benefit,546989
ccdloadtest426@gmail.com,Password12,SSCS,Benefit,546990
ccdloadtest427@gmail.com,Password12,SSCS,Benefit,546991
ccdloadtest428@gmail.com,Password12,SSCS,Benefit,546992
ccdloadtest429@gmail.com,Password12,SSCS,Benefit,546993
ccdloadtest430@gmail.com,Password12,SSCS,Benefit,546994
ccdloadtest431@gmail.com,Password12,SSCS,Benefit,546995
ccdloadtest432@gmail.com,Password12,SSCS,Benefit,546996
ccdloadtest433@gmail.com,Password12,SSCS,Benefit,546997
ccdloadtest434@gmail.com,Password12,SSCS,Benefit,546998
ccdloadtest435@gmail.com,Password12,SSCS,Benefit,546999
ccdloadtest436@gmail.com,Password12,SSCS,Benefit,547000
ccdloadtest437@gmail.com,Password12,SSCS,Benefit,547001
ccdloadtest438@gmail.com,Password12,SSCS,Benefit,547002
ccdloadtest439@gmail.com,Password12,SSCS,Benefit,547003
ccdloadtest440@gmail.com,Password12,SSCS,Benefit,547004
ccdloadtest441@gmail.com,Password12,SSCS,Benefit,547005
ccdloadtest442@gmail.com,Password12,SSCS,Benefit,547006
ccdloadtest443@gmail.com,Password12,SSCS,Benefit,547007
ccdloadtest444@gmail.com,Password12,SSCS,Benefit,547008
ccdloadtest445@gmail.com,Password12,SSCS,Benefit,547009
ccdloadtest446@gmail.com,Password12,SSCS,Benefit,547010
ccdloadtest447@gmail.com,Password12,SSCS,Benefit,547011
ccdloadtest448@gmail.com,Password12,SSCS,Benefit,547012
ccdloadtest449@gmail.com,Password12,SSCS,Benefit,547013
ccdloadtest450@gmail.com,Password12,SSCS,Benefit,547014
ccdloadtest451@gmail.com,Password12,SSCS,Benefit,547015
ccdloadtest452@gmail.com,Password12,SSCS,Benefit,547016
ccdloadtest453@gmail.com,Password12,SSCS,Benefit,547017
ccdloadtest454@gmail.com,Password12,SSCS,Benefit,547018
ccdloadtest455@gmail.com,Password12,SSCS,Benefit,547019
ccdloadtest456@gmail.com,Password12,SSCS,Benefit,547020
ccdloadtest457@gmail.com,Password12,SSCS,Benefit,547021
ccdloadtest458@gmail.com,Password12,SSCS,Benefit,547022
ccdloadtest459@gmail.com,Password12,SSCS,Benefit,547023
ccdloadtest460@gmail.com,Password12,SSCS,Benefit,547024
ccdloadtest461@gmail.com,Password12,SSCS,Benefit,547025
ccdloadtest462@gmail.com,Password12,SSCS,Benefit,547026
ccdloadtest463@gmail.com,Password12,SSCS,Benefit,547027
ccdloadtest464@gmail.com,Password12,SSCS,Benefit,547028
ccdloadtest465@gmail.com,Password12,SSCS,Benefit,547029
ccdloadtest466@gmail.com,Password12,SSCS,Benefit,547030
ccdloadtest467@gmail.com,Password12,SSCS,Benefit,547031
ccdloadtest468@gmail.com,Password12,SSCS,Benefit,547032
ccdloadtest469@gmail.com,Password12,SSCS,Benefit,547033
ccdloadtest470@gmail.com,Password12,SSCS,Benefit,547034
ccdloadtest471@gmail.com,Password12,SSCS,Benefit,547035
ccdloadtest472@gmail.com,Password12,SSCS,Benefit,547036
ccdloadtest473@gmail.com,Password12,SSCS,Benefit,547037
ccdloadtest474@gmail.com,Password12,SSCS,Benefit,547038
ccdloadtest475@gmail.com,Password12,SSCS,Benefit,547039
ccdloadtest476@gmail.com,Password12,SSCS,Benefit,547040
ccdloadtest477@gmail.com,Password12,SSCS,Benefit,547041
ccdloadtest478@gmail.com,Password12,SSCS,Benefit,547042
ccdloadtest479@gmail.com,Password12,SSCS,Benefit,547043
ccdloadtest480@gmail.com,Password12,SSCS,Benefit,547044
ccdloadtest481@gmail.com,Password12,SSCS,Benefit,547045
ccdloadtest482@gmail.com,Password12,SSCS,Benefit,547046
ccdloadtest483@gmail.com,Password12,SSCS,Benefit,547047
ccdloadtest484@gmail.com,Password12,SSCS,Benefit,547048
ccdloadtest485@gmail.com,Password12,SSCS,Benefit,547049
ccdloadtest486@gmail.com,Password12,SSCS,Benefit,547050
ccdloadtest487@gmail.com,Password12,SSCS,Benefit,547051
ccdloadtest488@gmail.com,Password12,SSCS,Benefit,547052
ccdloadtest489@gmail.com,Password12,SSCS,Benefit,547053
ccdloadtest490@gmail.com,Password12,SSCS,Benefit,547054
ccdloadtest491@gmail.com,Password12,SSCS,Benefit,547055
ccdloadtest492@gmail.com,Password12,SSCS,Benefit,547056
ccdloadtest493@gmail.com,Password12,SSCS,Benefit,547057
ccdloadtest494@gmail.com,Password12,SSCS,Benefit,547058
ccdloadtest495@gmail.com,Password12,SSCS,Benefit,547059
ccdloadtest496@gmail.com,Password12,SSCS,Benefit,547060
ccdloadtest497@gmail.com,Password12,SSCS,Benefit,547061
ccdloadtest498@gmail.com,Password12,SSCS,Benefit,547062
ccdloadtest499@gmail.com,Password12,SSCS,Benefit,547063
ccdloadtest500@gmail.com,Password12,SSCS,Benefit,547064
ccdloadtest501@gmail.com,Password12,SSCS,Benefit,547065
ccdloadtest502@gmail.com,Password12,SSCS,Benefit,547066
ccdloadtest503@gmail.com,Password12,SSCS,Benefit,547067
ccdloadtest504@gmail.com,Password12,SSCS,Benefit,547068
ccdloadtest505@gmail.com,Password12,SSCS,Benefit,547069
ccdloadtest506@gmail.com,Password12,SSCS,Benefit,547070
ccdloadtest507@gmail.com,Password12,SSCS,Benefit,547071
ccdloadtest508@gmail.com,Password12,SSCS,Benefit,547072
ccdloadtest509@gmail.com,Password12,SSCS,Benefit,547073
ccdloadtest510@gmail.com,Password12,SSCS,Benefit,547074
ccdloadtest511@gmail.com,Password12,SSCS,Benefit,547075
ccdloadtest512@gmail.com,Password12,SSCS,Benefit,547076
ccdloadtest513@gmail.com,Password12,SSCS,Benefit,547077
ccdloadtest514@gmail.com,Password12,SSCS,Benefit,547078
ccdloadtest515@gmail.com,Password12,SSCS,Benefit,547079
ccdloadtest516@gmail.com,Password12,SSCS,Benefit,547080
ccdloadtest517@gmail.com,Password12,SSCS,Benefit,547081
ccdloadtest518@gmail.com,Password12,SSCS,Benefit,547082
ccdloadtest519@gmail.com,Password12,SSCS,Benefit,547083
ccdloadtest520@gmail.com,Password12,SSCS,Benefit,547084
ccdloadtest521@gmail.com,Password12,SSCS,Benefit,547085
ccdloadtest522@gmail.com,Password12,SSCS,Benefit,547086
ccdloadtest523@gmail.com,Password12,SSCS,Benefit,547087
ccdloadtest524@gmail.com,Password12,SSCS,Benefit,547088
ccdloadtest525@gmail.com,Password12,SSCS,Benefit,547089
ccdloadtest526@gmail.com,Password12,SSCS,Benefit,547090
