FPLUserName,FPLUserPassword
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
james@swansea.gov.uk,Password12
kurt@swansea.gov.uk,Password12
damian@swansea.gov.uk,Password12
